name;label;description
idgwszone;Id_GWSZone;Eindeutiger Identifikator des ÖREB Fachsystems
typ;Typ;Typ der Schutzzone (siehe 9.9 Wertebereich in der Modellbeschreibung)
kantypbez;Kantonale-Typ-Bezeichnung;Kantonale-Typ-Bezeichnung
altrecht;Ist altrechtlich;Angabe aus dem Bundesmodells, informiert ob rechtsgültige Objekte nicht mehr den heutigen gesetzl. Anforderungen entsprechen
bemerkung;Bemerkungen;Bemerkungen
idgeschaef;Id_Geschaeft;Eindeutiger Identifikator des ÖREB Fachsystems
geschaesta;Geschäftsstatus;Der Geschäftsstatus gibt den letzten publizierten Status eines Geschäfts wieder (siehe 9.9 Wertebereich in der Modellbeschreibung)
datumstat;Datum_Status;Datum des Statuswechsels
geolink;Geolink;Eindeutige Verbindung zur Rechtsvorschrift
geschaebez;Geschaeftsbezeichnung;Bezeichnung des Geschäfts
