name;label;description
id_unfall;Eindeutiger Identifikator des Unfalls;Eindeutiger Identifikator des Unfalls aus der MISTRA-Applikation Verkehrsunfälle.
typ;Beschreibung zum Unfalltyp;Der Unfalltyp bezeichnet den Verkehrsvorgang bzw. die Konfliktsituation, welche massgebend für die Entstehung des Unfalls ist.
schwere;Beschreibung der Unfallschwerekategorie;Beschreibung der Unfallschwerekategorie.
jahr;Unfalljahr;Unfalljahr in dem sich der Unfall ereignet hat.
monat;Unfallmonat;Unfallmonat in dem sich der Unfall ereignet hat.
wochentag;Wochentag;Wochentag an dem sich der Unfall ereignet hat.
stunde;Unfallstunde;Beschreibung der Unfallstunde, in der sich der Unfall ereignet hat.
strasseart;Strassenart;Art der Strasse auf der sich der Unfall ereignet hat.
fussgg_bet;Fussgängerbeteiligung;War ein Fussgänger am Unfall beteiligt
fahrrd_bet;Fahrradbeteiligung;War ein Fahrrad am Unfall beteiligt 
motord_bet;Motorradbeteiligung;War ein Motorrad am Unfall beteiligt
accident_date;Unfalldatum;Unfalldatum in der sich der Unfall ereignet hat.
monat_num;Monat als Zahl;Monat als Zahl
