name;label;description
gml_id;;
bs_sektionnummer;Sektion;Sektion des Grundbuchkreises
bs_prznummer;Parzellennummer;Die Parzellennummer ist einer Parzelle, also einem Stück Land, eindeutig zugeordnet. Anhand dieser Nummer ist es möglich, Parzellen zu identifizieren und weitere Informationen zu ihnen einzuholen.
bs_nummerindex;Index;Der Index zeigt die Anzahl der geometrischen Veränderungen an einem Grundstück. Eine Parzelle mit Index 2 ist seit ihrer Entstehung zweimal in ihrer Ausdehnung verändert worden.
bs_egrid;EGRID;Die Eidgenössische Grundstücksidentifikation (E-GRID) dient der eindeutigen Identifikation jedes Grundstücks gemäss schweizerischem Grundbuchrecht.
bs_art;Name Art Liegenschaft;Unterschieden wird zwischen Liegenschaft und Allmendparzelle.
mapbs_bs_grundstueckinfo;Grundstückinfo;Grundstückinfo in MapBS
geometry;;
